t,obj_x,obj_y,obj_z,joint1,joint2,joint3,joint4,joint5,joint6,gripper_closed
123.0,0.4000,0.1500,0.0180,0.5583,-0.6466,-1.3279,0.1312,-1.3758,0.4875,0.0
123.5,0.4000,0.1500,0.0180,0.6165,-0.6038,-1.1837,0.1413,-1.4000,0.6096,0.0
124.0,0.4000,0.1500,0.0180,0.7002,-0.5733,-1.0981,0.1444,-1.4165,0.6887,0.0
124.5,0.4000,0.1500,0.0180,0.7461,-0.5618,-1.0770,0.1432,-1.4305,0.7269,0.0
125.0,0.4000,0.1500,0.0180,0.7571,-0.5860,-1.1153,0.1428,-1.4554,0.7266,0.0
125.5,0.4000,0.1500,0.0180,0.7934,-0.6162,-1.1700,0.1447,-1.4656,0.7556,0.0
126.0,0.4000,0.1500,0.0180,0.8017,-0.6489,-1.2147,0.1525,-1.4329,0.7497,0.0
126.5,0.4000,0.1500,0.0180,0.7929,-0.6886,-1.2369,0.1623,-1.3746,0.7262,1.0
127.0,0.4000,0.1500,0.0180,0.7731,-0.7239,-1.2564,0.1717,-1.3328,0.6985,1.0
127.5,0.4000,0.1500,0.0180,0.7723,-0.7253,-1.2572,0.1721,-1.3311,0.6974,1.0
128.0,0.4000,0.1500,0.0180,0.7723,-0.7253,-1.2572,0.1721,-1.3311,0.6974,1.0
128.5,0.4000,0.1500,0.0180,0.7723,-0.7253,-1.2572,0.1721,-1.3311,0.6974,1.0
129.0,0.4000,0.1500,0.0180,0.7723,-0.7253,-1.2572,0.1721,-1.3311,0.6974,1.0
129.5,0.4000,0.1500,0.0180,0.7723,-0.7253,-1.2572,0.1721,-1.3311,0.6974,1.0
130.0,0.4000,0.1500,0.0180,0.7723,-0.7253,-1.2572,0.1721,-1.3311,0.6974,1.0
130.5,0.4000,0.1500,0.0180,0.7473,-0.6887,-1.1199,0.1731,-1.2717,0.6632,0.0
131.0,0.4000,0.1500,0.0180,0.7330,-0.6421,-0.9850,0.1676,-1.2959,0.6465,0.0
131.5,0.4000,0.1500,0.0180,0.7666,-0.6103,-0.9074,0.1605,-1.3416,0.6711,0.0
132.0,0.4000,0.1500,0.0180,0.7763,-0.6016,-0.9001,0.1595,-1.3889,0.6832,0.0
132.5,0.4000,0.1500,0.0180,0.7593,-0.5989,-0.9089,0.1566,-1.4427,0.6902,0.0
133.0,0.4000,0.1500,0.0180,0.7604,-0.5894,-0.9651,0.1570,-1.4879,0.7144,0.0
133.5,0.4000,0.1500,0.0180,0.7334,-0.6036,-1.0572,0.1516,-1.4749,0.7000,0.0
134.0,0.4000,0.1500,0.0180,0.6663,-0.6459,-1.1628,0.1428,-1.4190,0.6459,0.0
134.5,0.4000,0.1500,0.0180,0.6462,-0.6586,-1.1945,0.1401,-1.4022,0.6296,0.0
135.0,0.4000,0.1500,0.0180,0.6462,-0.6586,-1.1945,0.1401,-1.4022,0.6296,0.0
135.5,0.4000,0.1500,0.0180,0.6462,-0.6586,-1.1945,0.1401,-1.4022,0.6296,0.0
136.0,0.4000,0.1500,0.0180,0.6462,-0.6586,-1.1945,0.1401,-1.4022,0.6296,0.0
136.5,0.4000,0.1500,0.0180,0.6462,-0.6586,-1.1945,0.1401,-1.4022,0.6296,0.0
137.0,0.4000,0.1500,0.0180,0.6462,-0.6586,-1.1945,0.1401,-1.4022,0.6296,0.0
137.5,0.4000,0.1500,0.0180,0.6817,-0.6484,-1.1539,0.1470,-1.4161,0.6420,0.0
138.0,0.4000,0.1500,0.0180,0.7634,-0.6299,-1.0461,0.1542,-1.4301,0.6877,0.0
138.5,0.4000,0.1500,0.0180,0.8543,-0.6144,-0.9889,0.1574,-1.4337,0.7521,0.0
139.0,0.4000,0.1500,0.0180,0.9408,-0.5901,-0.9940,0.1612,-1.4242,0.8210,0.0
139.5,0.4000,0.1500,0.0180,1.0042,-0.5627,-1.0286,0.1614,-1.3899,0.8759,0.0
140.0,0.4000,0.1500,0.0180,1.0451,-0.5418,-1.1155,0.1582,-1.3529,0.9165,0.0
140.5,0.4000,0.1500,0.0180,1.0738,-0.5245,-1.1942,0.1559,-1.3045,0.9490,0.0
141.0,0.4000,0.1500,0.0180,1.0576,-0.5380,-1.2446,0.1541,-1.2628,0.9423,0.0
141.5,0.4000,0.1500,0.0180,1.0482,-0.5458,-1.2739,0.1530,-1.2387,0.9384,0.0
142.0,0.4000,0.1500,0.0180,1.0482,-0.5458,-1.2739,0.1530,-1.2387,0.9384,0.0
142.5,0.4000,0.1500,0.0180,1.0482,-0.5458,-1.2739,0.1530,-1.2387,0.9384,0.0
143.0,0.4000,0.1500,0.0180,1.0482,-0.5458,-1.2739,0.1530,-1.2387,0.9384,0.0
143.5,0.4000,0.1500,0.0180,1.0482,-0.5458,-1.2739,0.1530,-1.2387,0.9384,0.0
144.0,0.4000,0.1500,0.0180,1.0482,-0.5458,-1.2739,0.1530,-1.2387,0.9384,0.0
144.5,0.4000,0.1500,0.0180,1.0482,-0.5458,-1.2739,0.1530,-1.2387,0.9384,0.0
145.0,0.4000,0.1500,0.0180,1.0243,-0.5617,-1.1976,0.1527,-1.2471,0.8893,0.0
145.5,0.4000,0.1500,0.0180,1.0419,-0.5566,-1.1092,0.1379,-1.2898,0.9006,0.0
146.0,0.4000,0.1500,0.0180,1.0723,-0.5364,-1.0990,0.1258,-1.3550,0.9405,0.0
146.5,0.4000,0.1500,0.0180,1.0498,-0.5167,-1.1297,0.1202,-1.3803,0.9419,0.0
147.0,0.4000,0.1500,0.0180,1.0205,-0.5171,-1.1775,0.1213,-1.3833,0.9481,0.0
147.5,0.4000,0.1500,0.0180,1.0401,-0.5265,-1.2039,0.1252,-1.3684,0.9627,0.0
148.0,0.4000,0.1500,0.0180,1.0362,-0.5422,-1.2226,0.1282,-1.3572,0.9620,0.0
148.5,0.4000,0.1500,0.0180,1.0584,-0.5379,-1.1922,0.1278,-1.3123,0.9519,0.0
149.0,0.4000,0.1500,0.0180,1.0695,-0.5358,-1.1769,0.1276,-1.2898,0.9468,0.0
149.5,0.4000,0.1500,0.0180,1.0695,-0.5358,-1.1769,0.1276,-1.2898,0.9468,0.0
150.0,0.4000,0.1500,0.0180,1.0695,-0.5358,-1.1769,0.1276,-1.2898,0.9468,0.0
150.5,0.4000,0.1500,0.0180,1.0695,-0.5358,-1.1769,0.1276,-1.2898,0.9468,0.0
151.0,0.4000,0.1500,0.0180,1.0695,-0.5358,-1.1769,0.1276,-1.2898,0.9468,0.0
151.5,0.4000,0.1500,0.0180,1.0695,-0.5358,-1.1769,0.1276,-1.2898,0.9468,0.0
152.0,0.4000,0.1500,0.0180,1.0667,-0.5369,-1.1695,0.1274,-1.2929,0.9500,0.0
152.5,0.4000,0.1500,0.0180,1.0873,-0.5438,-1.0779,0.1296,-1.3258,1.0059,0.0
153.0,0.4000,0.1500,0.0180,1.1051,-0.5286,-1.0549,0.1380,-1.3361,1.0439,0.0
153.5,0.4000,0.1500,0.0180,1.1079,-0.5160,-1.0919,0.1413,-1.3746,1.0971,0.0
154.0,0.4000,0.1500,0.0180,1.1136,-0.5230,-1.1245,0.1430,-1.3874,1.1237,0.0
154.5,0.4000,0.1500,0.0180,1.0901,-0.5330,-1.1395,0.1429,-1.3658,1.1138,0.0
155.0,0.4000,0.1500,0.0180,1.0780,-0.5669,-1.1559,0.1376,-1.3836,1.0957,0.0
155.5,0.4000,0.1500,0.0180,1.0486,-0.6026,-1.1812,0.1280,-1.4319,1.0625,0.0
156.0,0.4000,0.1500,0.0180,1.0191,-0.6325,-1.1955,0.1204,-1.4870,1.0314,0.0
156.5,0.4000,0.1500,0.0180,1.0191,-0.6325,-1.1955,0.1204,-1.4870,1.0314,0.0
157.0,0.4000,0.1500,0.0180,1.0191,-0.6325,-1.1955,0.1204,-1.4870,1.0314,0.0
157.5,0.4000,0.1500,0.0180,1.0191,-0.6325,-1.1955,0.1204,-1.4870,1.0314,0.0
158.0,0.4000,0.1500,0.0180,1.0191,-0.6325,-1.1955,0.1204,-1.4870,1.0314,0.0
158.5,0.4000,0.1500,0.0180,1.0191,-0.6325,-1.1955,0.1204,-1.4870,1.0314,0.0
159.0,0.4000,0.1500,0.0180,1.0191,-0.6325,-1.1955,0.1204,-1.4870,1.0314,0.0
159.5,0.4000,0.1500,0.0180,0.9940,-0.5894,-1.0671,0.1279,-1.4138,0.9626,0.0
160.0,0.4000,0.1500,0.0180,0.9624,-0.5571,-0.9888,0.1348,-1.3768,0.9013,0.0
160.5,0.4000,0.1500,0.0180,0.9973,-0.5383,-0.9879,0.1540,-1.3747,0.9159,0.0
161.0,0.4000,0.1500,0.0180,1.0613,-0.5378,-1.0228,0.1670,-1.4200,0.9957,0.0
161.5,0.4000,0.1500,0.0180,1.1046,-0.5473,-1.0539,0.1719,-1.4335,1.0431,0.0
162.0,0.4000,0.1500,0.0180,1.1109,-0.5460,-1.1268,0.1667,-1.3968,1.0503,0.0
162.5,0.4000,0.1500,0.0180,1.0930,-0.5472,-1.2353,0.1622,-1.3719,1.0482,0.0
163.0,0.4000,0.1500,0.0180,1.0740,-0.5507,-1.3417,0.1582,-1.3487,1.0443,0.0
163.5,0.4000,0.1500,0.0180,1.0732,-0.5509,-1.3460,0.1581,-1.3478,1.0442,0.0
164.0,0.4000,0.1500,0.0180,1.0732,-0.5509,-1.3460,0.1581,-1.3478,1.0442,0.0
164.5,0.4000,0.1500,0.0180,1.0732,-0.5509,-1.3460,0.1581,-1.3478,1.0442,0.0
165.0,0.4000,0.1500,0.0180,1.0732,-0.5509,-1.3460,0.1581,-1.3478,1.0442,0.0
165.5,0.4000,0.1500,0.0180,1.0732,-0.5509,-1.3460,0.1581,-1.3478,1.0442,0.0
166.0,0.4000,0.1500,0.0180,1.0732,-0.5509,-1.3460,0.1581,-1.3478,1.0442,0.0
166.5,0.4000,0.1500,0.0180,1.1068,-0.5641,-1.1582,0.1572,-1.3268,1.0644,0.0
167.0,0.4000,0.1500,0.0180,1.0969,-0.5784,-1.0071,0.1650,-1.3583,1.0507,0.0
167.5,0.4000,0.1500,0.0180,1.0927,-0.5683,-0.9737,0.1736,-1.3702,1.0495,0.0
168.0,0.4000,0.1500,0.0180,1.0939,-0.5469,-1.0106,0.1728,-1.3411,1.0424,0.0
168.5,0.4000,0.1500,0.0180,1.0868,-0.5302,-1.0665,0.1774,-1.3265,1.0349,0.0
169.0,0.4000,0.1500,0.0180,1.0792,-0.5089,-1.1333,0.1807,-1.3111,1.0013,0.0
169.5,0.4000,0.1500,0.0180,1.1000,-0.4925,-1.1774,0.1741,-1.2740,0.9974,0.0
170.0,0.4000,0.1500,0.0180,1.1029,-0.4755,-1.1934,0.1691,-1.1783,0.9775,0.0
170.5,0.4000,0.1500,0.0180,1.1039,-0.4699,-1.1986,0.1675,-1.1471,0.9710,0.0
171.0,0.4000,0.1500,0.0180,1.1039,-0.4699,-1.1986,0.1675,-1.1471,0.9710,0.0
171.5,0.4000,0.1500,0.0180,1.1039,-0.4699,-1.1986,0.1675,-1.1471,0.9710,0.0
172.0,0.4000,0.1500,0.0180,1.1039,-0.4699,-1.1986,0.1675,-1.1471,0.9710,0.0
172.5,0.4000,0.1500,0.0180,1.1039,-0.4699,-1.1986,0.1675,-1.1471,0.9710,0.0
173.0,0.4000,0.1500,0.0180,1.1039,-0.4699,-1.1986,0.1675,-1.1471,0.9710,0.0
173.5,0.4000,0.1500,0.0180,1.0543,-0.4833,-1.1326,0.1662,-1.2048,0.9555,0.0
174.0,0.4000,0.1500,0.0180,1.0292,-0.4939,-1.0457,0.1627,-1.2657,0.9566,0.0
174.5,0.4000,0.1500,0.0180,1.0786,-0.4902,-1.0142,0.1624,-1.3164,1.0197,0.0
175.0,0.4000,0.1500,0.0180,1.1205,-0.4706,-0.9970,0.1600,-1.3504,1.0770,0.0
175.5,0.4000,0.1500,0.0180,1.1494,-0.4696,-1.0112,0.1560,-1.3659,1.1016,0.0
176.0,0.4000,0.1500,0.0180,1.1713,-0.4778,-1.0330,0.1468,-1.3148,1.1150,0.0
176.5,0.4000,0.1500,0.0180,1.1542,-0.4901,-1.1132,0.1439,-1.2737,1.1231,0.0
177.0,0.4000,0.1500,0.0180,1.1083,-0.5220,-1.2181,0.1400,-1.2227,1.0806,0.0
177.5,0.4000,0.1500,0.0180,1.0826,-0.5399,-1.2769,0.1379,-1.1941,1.0568,0.0
178.0,0.4000,0.1500,0.0180,1.0826,-0.5399,-1.2769,0.1379,-1.1941,1.0568,0.0
178.5,0.4000,0.1500,0.0180,1.0826,-0.5399,-1.2769,0.1379,-1.1941,1.0568,0.0
179.0,0.4000,0.1500,0.0180,1.0826,-0.5399,-1.2769,0.1379,-1.1941,1.0568,0.0
179.5,0.4000,0.1500,0.0180,1.0826,-0.5399,-1.2769,0.1379,-1.1941,1.0568,0.0
180.0,0.4000,0.1500,0.0180,1.0826,-0.5399,-1.2769,0.1379,-1.1941,1.0568,0.0
180.5,0.4000,0.1500,0.0180,1.0826,-0.5399,-1.2769,0.1379,-1.1941,1.0568,0.0
181.0,0.4000,0.1500,0.0180,1.0912,-0.5425,-1.1471,0.1506,-1.2108,1.0645,0.0
181.5,0.4000,0.1500,0.0180,1.1596,-0.5300,-1.0274,0.1462,-1.2906,1.1133,0.0
182.0,0.4000,0.1500,0.0180,1.2430,-0.5000,-1.0207,0.1321,-1.3747,1.1849,0.0
182.5,0.4000,0.1500,0.0180,1.3076,-0.4882,-1.0484,0.1297,-1.4210,1.2498,0.0
183.0,0.4000,0.1500,0.0180,1.3332,-0.5132,-1.0889,0.1278,-1.4284,1.2788,0.0
183.5,0.4000,0.1500,0.0180,1.3804,-0.5154,-1.1373,0.1301,-1.4526,1.3237,0.0
184.0,0.4000,0.1500,0.0180,1.4018,-0.5161,-1.2123,0.1284,-1.4400,1.3579,0.0
184.5,0.4000,0.1500,0.0180,1.4105,-0.5244,-1.2969,0.1262,-1.4227,1.3759,0.0
185.0,0.4000,0.1500,0.0180,1.4138,-0.5277,-1.3297,0.1253,-1.4159,1.3829,0.0
185.5,0.4000,0.1500,0.0180,1.4138,-0.5277,-1.3297,0.1253,-1.4159,1.3829,0.0
186.0,0.4000,0.1500,0.0180,1.4138,-0.5277,-1.3297,0.1253,-1.4159,1.3829,0.0
186.5,0.4000,0.1500,0.0180,1.4138,-0.5277,-1.3297,0.1253,-1.4159,1.3829,0.0
187.0,0.4000,0.1500,0.0180,1.4138,-0.5277,-1.3297,0.1253,-1.4159,1.3829,0.0
187.5,0.4000,0.1500,0.0180,1.4138,-0.5277,-1.3297,0.1253,-1.4159,1.3829,0.0
188.0,0.4000,0.1500,0.0180,1.4220,-0.5371,-1.2168,0.1320,-1.4011,1.3810,0.0
188.5,0.4000,0.1500,0.0180,1.4315,-0.5260,-0.9774,0.1460,-1.3610,1.3939,0.0
189.0,0.4000,0.1500,0.0180,1.5201,-0.5215,-0.8966,0.1484,-1.3677,1.4607,0.0
189.5,0.4000,0.1500,0.0180,1.6255,-0.5333,-0.8843,0.1464,-1.4101,1.5484,0.0
190.0,0.4000,0.1500,0.0180,1.6596,-0.5461,-0.9123,0.1451,-1.4457,1.5851,0.0
190.5,0.4000,0.1500,0.0180,1.6516,-0.5463,-0.9750,0.1509,-1.4525,1.5951,0.0
191.0,0.4000,0.1500,0.0180,1.5923,-0.5678,-1.0260,0.1524,-1.4511,1.5510,0.0
191.5,0.4000,0.1500,0.0180,1.5407,-0.5946,-1.0805,0.1497,-1.4405,1.5060,0.0
192.0,0.4000,0.1500,0.0180,1.5081,-0.6118,-1.1162,0.1479,-1.4338,1.4774,0.0
192.5,0.4000,0.1500,0.0180,1.5081,-0.6118,-1.1162,0.1479,-1.4338,1.4774,0.0
193.0,0.4000,0.1500,0.0180,1.5081,-0.6118,-1.1162,0.1479,-1.4338,1.4774,0.0
193.5,0.4000,0.1500,0.0180,1.5081,-0.6118,-1.1162,0.1479,-1.4338,1.4774,0.0
194.0,0.4000,0.1500,0.0180,1.5081,-0.6118,-1.1162,0.1479,-1.4338,1.4774,0.0
194.5,0.4000,0.1500,0.0180,1.5081,-0.6118,-1.1162,0.1479,-1.4338,1.4774,0.0
195.0,0.4000,0.1500,0.0180,1.5081,-0.6118,-1.1162,0.1479,-1.4338,1.4774,0.0
195.5,0.4000,0.1500,0.0180,1.5557,-0.5896,-0.9714,0.1493,-1.4100,1.5242,0.0
196.0,0.4000,0.1500,0.0180,1.5938,-0.5485,-0.8008,0.1541,-1.4095,1.5659,0.0
196.5,0.4000,0.1500,0.0180,1.6036,-0.5099,-0.7545,0.1587,-1.4080,1.5562,0.0
197.0,0.4000,0.1500,0.0180,1.6322,-0.4826,-0.7564,0.1531,-1.3889,1.5668,0.0
197.5,0.4000,0.1500,0.0180,1.6625,-0.4477,-0.8163,0.1421,-1.3910,1.5812,0.0
198.0,0.4000,0.1500,0.0180,1.6797,-0.4315,-0.9111,0.1285,-1.3634,1.5905,0.0
198.5,0.4000,0.1500,0.0180,1.6387,-0.4379,-1.0073,0.1171,-1.3044,1.5564,0.0
199.0,0.4000,0.1500,0.0180,1.5992,-0.4440,-1.1207,0.1071,-1.2630,1.5182,0.0
199.5,0.4000,0.1500,0.0180,1.5818,-0.4467,-1.1706,0.1027,-1.2448,1.5014,0.0
200.0,0.4000,0.1500,0.0180,1.5818,-0.4467,-1.1706,0.1027,-1.2448,1.5014,0.0
200.5,0.4000,0.1500,0.0180,1.5818,-0.4467,-1.1706,0.1027,-1.2448,1.5014,0.0
201.0,0.4000,0.1500,0.0180,1.5818,-0.4467,-1.1706,0.1027,-1.2448,1.5014,0.0
201.5,0.4000,0.1500,0.0180,1.5818,-0.4467,-1.1706,0.1027,-1.2448,1.5014,0.0
202.0,0.4000,0.1500,0.0180,1.5818,-0.4467,-1.1706,0.1027,-1.2448,1.5014,0.0
202.5,0.4000,0.1500,0.0180,1.5818,-0.4467,-1.1706,0.1027,-1.2448,1.5014,0.0
203.0,0.4000,0.1500,0.0180,1.6175,-0.4494,-1.0348,0.1155,-1.2521,1.5669,0.0
203.5,0.4000,0.1500,0.0180,1.6879,-0.4596,-0.9219,0.1317,-1.3492,1.6415,0.0
204.0,0.4000,0.1500,0.0180,1.7250,-0.4716,-0.8919,0.1354,-1.4239,1.6740,0.0
204.5,0.4000,0.1500,0.0180,1.7473,-0.4676,-0.8887,0.1443,-1.4301,1.6780,0.0
205.0,0.4000,0.1500,0.0180,1.7424,-0.4579,-0.9138,0.1523,-1.4080,1.6913,0.0
205.5,0.4000,0.1500,0.0180,1.7356,-0.4454,-0.9616,0.1550,-1.3674,1.6964,0.0
206.0,0.4000,0.1500,0.0180,1.7752,-0.4534,-0.9972,0.1548,-1.3055,1.7464,0.0
206.5,0.4000,0.1500,0.0180,1.7843,-0.5006,-1.0195,0.1516,-1.2307,1.7665,0.0
207.0,0.4000,0.1500,0.0180,1.7875,-0.5176,-1.0275,0.1505,-1.2038,1.7738,0.0
207.5,0.4000,0.1500,0.0180,1.7875,-0.5176,-1.0275,0.1505,-1.2038,1.7738,0.0
208.0,0.4000,0.1500,0.0180,1.7875,-0.5176,-1.0275,0.1505,-1.2038,1.7738,0.0
208.5,0.4000,0.1500,0.0180,1.7875,-0.5176,-1.0275,0.1505,-1.2038,1.7738,0.0
209.0,0.4000,0.1500,0.0180,1.7875,-0.5176,-1.0275,0.1505,-1.2038,1.7738,0.0
209.5,0.4000,0.1500,0.0180,1.7875,-0.5176,-1.0275,0.1505,-1.2038,1.7738,0.0
210.0,0.4000,0.1500,0.0180,1.8026,-0.5123,-0.9344,0.1500,-1.2202,1.7862,0.0
210.5,0.4000,0.1500,0.0180,1.8438,-0.5067,-0.7736,0.1558,-1.2623,1.8495,0.0
211.0,0.4000,0.1500,0.0180,1.8953,-0.4891,-0.7329,0.1573,-1.3200,1.9150,0.0
211.5,0.4000,0.1500,0.0180,1.9374,-0.4590,-0.7307,0.1586,-1.3645,1.9638,0.0
212.0,0.4000,0.1500,0.0180,1.9302,-0.4467,-0.7587,0.1611,-1.3922,1.9760,0.0
212.5,0.4000,0.1500,0.0180,1.8900,-0.4455,-0.8215,0.1609,-1.3595,1.9578,0.0
213.0,0.4000,0.1500,0.0180,1.8713,-0.4308,-0.9115,0.1583,-1.2917,1.9484,0.0
213.5,0.4000,0.1500,0.0180,1.8132,-0.4275,-1.0204,0.1479,-1.2665,1.8840,0.0
214.0,0.4000,0.1500,0.0180,1.7762,-0.4254,-1.0916,0.1413,-1.2526,1.8415,0.0
214.5,0.4000,0.1500,0.0180,1.7762,-0.4254,-1.0916,0.1413,-1.2526,1.8415,0.0
215.0,0.4000,0.1500,0.0180,1.7762,-0.4254,-1.0916,0.1413,-1.2526,1.8415,0.0
215.5,0.4000,0.1500,0.0180,1.7762,-0.4254,-1.0916,0.1413,-1.2526,1.8415,0.0
216.0,0.4000,0.1500,0.0180,1.7762,-0.4254,-1.0916,0.1413,-1.2526,1.8415,0.0
216.5,0.4000,0.1500,0.0180,1.7762,-0.4254,-1.0916,0.1413,-1.2526,1.8415,0.0
217.0,0.4000,0.1500,0.0180,1.7785,-0.4263,-1.0759,0.1416,-1.2496,1.8398,0.0
217.5,0.4000,0.1500,0.0180,1.8559,-0.4425,-0.7535,0.1404,-1.2301,1.8468,0.0
