t,obj_x,obj_y,obj_z,joint1,joint2,joint3,joint4,joint5,joint6,gripper_closed
29.0,0.4000,0.1500,0.0180,0.5899,1.4647,-0.1671,-0.0581,1.3072,0.6240,0.0
29.5,0.4000,0.1500,0.0180,0.6318,1.4344,-0.1442,-0.0817,1.2885,0.6570,0.0
30.0,0.4000,0.1500,0.0180,0.6640,1.4365,-0.1576,-0.1438,1.2592,0.6982,0.0
30.5,0.4000,0.1500,0.0180,0.6400,1.4267,-0.1958,-0.1785,1.1982,0.6862,0.0
31.0,0.4000,0.1500,0.0180,0.5917,1.3808,-0.2160,-0.1918,1.0964,0.6543,0.0
31.5,0.4000,0.1500,0.0180,0.5655,1.3291,-0.1799,-0.1761,1.0121,0.6333,1.0
32.0,0.4000,0.1500,0.0180,0.5413,1.2804,-0.1352,-0.1549,0.9369,0.6157,1.0
32.5,0.4000,0.1500,0.0180,0.5399,1.2774,-0.1324,-0.1536,0.9323,0.6146,1.0
33.0,0.4000,0.1500,0.0180,0.5399,1.2774,-0.1324,-0.1536,0.9323,0.6146,1.0
33.5,0.4000,0.1500,0.0180,0.5399,1.2774,-0.1324,-0.1536,0.9323,0.6146,1.0
34.0,0.4000,0.1500,0.0180,0.5399,1.2774,-0.1324,-0.1536,0.9323,0.6146,1.0
34.5,0.4000,0.1500,0.0180,0.5399,1.2774,-0.1324,-0.1536,0.9323,0.6146,1.0
35.0,0.4000,0.1500,0.0180,0.5399,1.2774,-0.1324,-0.1536,0.9323,0.6146,1.0
35.5,0.4000,0.1500,0.0180,0.5399,1.2774,-0.1324,-0.1536,0.9323,0.6146,1.0
36.0,0.4000,0.1500,0.0180,0.6798,1.2956,-0.1103,-0.1814,1.0247,0.7511,0.0
36.5,0.4000,0.1500,0.0180,0.8100,1.2989,-0.1013,-0.2195,1.1027,0.8791,0.0
37.0,0.4000,0.1500,0.0180,0.8834,1.3060,-0.1196,-0.1989,1.1471,0.9288,0.0
37.5,0.4000,0.1500,0.0180,0.8746,1.2908,-0.1364,-0.1514,1.1231,0.9080,0.0
38.0,0.4000,0.1500,0.0180,0.8777,1.2850,-0.1487,-0.1370,1.0692,0.9177,0.0
38.5,0.4000,0.1500,0.0180,0.8809,1.2896,-0.1709,-0.1276,1.0364,0.9244,0.0
39.0,0.4000,0.1500,0.0180,0.8675,1.3265,-0.2038,-0.1066,1.0574,0.9062,1.0
39.5,0.4000,0.1500,0.0180,0.8336,1.3627,-0.2362,-0.0882,1.0762,0.8708,1.0
40.0,0.4000,0.1500,0.0180,0.8248,1.3721,-0.2447,-0.0833,1.0810,0.8616,1.0
40.5,0.4000,0.1500,0.0180,0.8248,1.3721,-0.2447,-0.0833,1.0810,0.8616,1.0
41.0,0.4000,0.1500,0.0180,0.8248,1.3721,-0.2447,-0.0833,1.0810,0.8616,1.0
41.5,0.4000,0.1500,0.0180,0.8248,1.3721,-0.2447,-0.0833,1.0810,0.8616,1.0
42.0,0.4000,0.1500,0.0180,0.8248,1.3721,-0.2447,-0.0833,1.0810,0.8616,1.0
42.5,0.4000,0.1500,0.0180,0.8248,1.3721,-0.2447,-0.0833,1.0810,0.8616,1.0
43.0,0.4000,0.1500,0.0180,0.9063,1.3520,-0.2041,-0.0898,1.1103,0.9339,0.0
43.5,0.4000,0.1500,0.0180,1.0272,1.3060,-0.1534,-0.1004,1.1447,1.0412,0.0
44.0,0.4000,0.1500,0.0180,1.1124,1.2922,-0.1463,-0.1125,1.1614,1.1258,0.0
44.5,0.4000,0.1500,0.0180,1.1587,1.2976,-0.1596,-0.1102,1.1521,1.1812,0.0
45.0,0.4000,0.1500,0.0180,1.1882,1.2977,-0.1882,-0.0961,1.1211,1.2182,0.0
45.5,0.4000,0.1500,0.0180,1.1964,1.2949,-0.2348,-0.0797,1.0913,1.2337,0.0
46.0,0.4000,0.1500,0.0180,1.1950,1.2952,-0.2571,-0.0719,1.0517,1.2196,0.0
46.5,0.4000,0.1500,0.0180,1.1822,1.3035,-0.2778,-0.0786,1.0061,1.2046,0.0
47.0,0.4000,0.1500,0.0180,1.1756,1.3079,-0.2885,-0.0821,0.9824,1.1968,0.0
47.5,0.4000,0.1500,0.0180,1.1756,1.3079,-0.2885,-0.0821,0.9824,1.1968,0.0
48.0,0.4000,0.1500,0.0180,1.1756,1.3079,-0.2885,-0.0821,0.9824,1.1968,0.0
48.5,0.4000,0.1500,0.0180,1.1756,1.3079,-0.2885,-0.0821,0.9824,1.1968,0.0
49.0,0.4000,0.1500,0.0180,1.1756,1.3079,-0.2885,-0.0821,0.9824,1.1968,0.0
49.5,0.4000,0.1500,0.0180,1.1756,1.3079,-0.2885,-0.0821,0.9824,1.1968,0.0
50.0,0.4000,0.1500,0.0180,1.1836,1.3133,-0.2799,-0.0827,1.0059,1.2029,0.0
50.5,0.4000,0.1500,0.0180,1.2152,1.3317,-0.2553,-0.0772,1.0796,1.2003,0.0
51.0,0.4000,0.1500,0.0180,1.2174,1.3562,-0.2942,-0.0578,1.1086,1.1840,0.0
51.5,0.4000,0.1500,0.0180,1.1685,1.3952,-0.3426,-0.0264,1.1106,1.1501,0.0
52.0,0.4000,0.1500,0.0180,1.1263,1.4193,-0.3872,-0.0108,1.0572,1.1144,0.0
52.5,0.4000,0.1500,0.0180,1.0977,1.4266,-0.4231,-0.0267,0.9937,1.0942,0.0
53.0,0.4000,0.1500,0.0180,1.0756,1.4011,-0.4347,-0.0622,0.9045,1.0854,0.0
53.5,0.4000,0.1500,0.0180,1.0570,1.3955,-0.4150,-0.0806,0.8403,1.0728,0.0
54.0,0.4000,0.1500,0.0180,1.0445,1.3914,-0.3982,-0.0941,0.7905,1.0649,0.0
54.5,0.4000,0.1500,0.0180,1.0445,1.3914,-0.3982,-0.0941,0.7905,1.0649,0.0
55.0,0.4000,0.1500,0.0180,1.0445,1.3914,-0.3982,-0.0941,0.7905,1.0649,0.0
55.5,0.4000,0.1500,0.0180,1.0445,1.3914,-0.3982,-0.0941,0.7905,1.0649,0.0
56.0,0.4000,0.1500,0.0180,1.0445,1.3914,-0.3982,-0.0941,0.7905,1.0649,0.0
56.5,0.4000,0.1500,0.0180,1.0445,1.3914,-0.3982,-0.0941,0.7905,1.0649,0.0
57.0,0.4000,0.1500,0.0180,1.0445,1.3914,-0.3982,-0.0941,0.7905,1.0649,0.0
57.5,0.4000,0.1500,0.0180,1.0510,1.3378,-0.3706,-0.0833,0.8610,1.0636,0.0
58.0,0.4000,0.1500,0.0180,1.0529,1.2932,-0.4055,-0.0945,0.8708,1.0860,0.0
58.5,0.4000,0.1500,0.0180,1.0437,1.2705,-0.4404,-0.1310,0.8461,1.0924,0.0
59.0,0.4000,0.1500,0.0180,0.9991,1.2916,-0.5041,-0.1538,0.8348,1.0549,0.0
59.5,0.4000,0.1500,0.0180,0.9241,1.3262,-0.5970,-0.1567,0.8125,0.9898,0.0
60.0,0.4000,0.1500,0.0180,0.8221,1.3442,-0.6901,-0.1254,0.7681,0.8885,0.0
60.5,0.4000,0.1500,0.0180,0.7474,1.3391,-0.7524,-0.1030,0.6817,0.8098,0.0
61.0,0.4000,0.1500,0.0180,0.6711,1.3242,-0.8191,-0.0809,0.5797,0.7287,0.0
61.5,0.4000,0.1500,0.0180,0.6680,1.3236,-0.8218,-0.0800,0.5756,0.7254,0.0
62.0,0.4000,0.1500,0.0180,0.6680,1.3236,-0.8218,-0.0800,0.5756,0.7254,0.0
62.5,0.4000,0.1500,0.0180,0.6680,1.3236,-0.8218,-0.0800,0.5756,0.7254,0.0
63.0,0.4000,0.1500,0.0180,0.6680,1.3236,-0.8218,-0.0800,0.5756,0.7254,0.0
63.5,0.4000,0.1500,0.0180,0.6680,1.3236,-0.8218,-0.0800,0.5756,0.7254,0.0
64.0,0.4000,0.1500,0.0180,0.6680,1.3236,-0.8218,-0.0800,0.5756,0.7254,0.0
64.5,0.4000,0.1500,0.0180,0.6680,1.3236,-0.8218,-0.0800,0.5756,0.7254,0.0
65.0,0.4000,0.1500,0.0180,0.7024,1.2621,-0.6095,-0.1071,0.6668,0.7619,0.0
65.5,0.4000,0.1500,0.0180,0.6931,1.1642,-0.4944,-0.1383,0.6172,0.7691,0.0
66.0,0.4000,0.1500,0.0180,0.6609,1.0693,-0.4530,-0.1640,0.5201,0.7588,0.0
66.5,0.4000,0.1500,0.0180,0.6195,1.0223,-0.4478,-0.1923,0.4358,0.7307,0.0
67.0,0.4000,0.1500,0.0180,0.5466,1.0162,-0.4660,-0.2284,0.3616,0.6940,0.0
67.5,0.4000,0.1500,0.0180,0.4589,1.0027,-0.5179,-0.2753,0.2725,0.6530,1.0
68.0,0.4000,0.1500,0.0180,0.3522,1.0046,-0.5121,-0.3131,0.2349,0.5753,1.0
68.5,0.4000,0.1500,0.0180,0.2460,1.0128,-0.5015,-0.3510,0.2035,0.4998,1.0
69.0,0.4000,0.1500,0.0180,0.2460,1.0128,-0.5015,-0.3510,0.2035,0.4998,1.0
69.5,0.4000,0.1500,0.0180,0.2460,1.0128,-0.5015,-0.3510,0.2035,0.4998,1.0
70.0,0.4000,0.1500,0.0180,0.2460,1.0128,-0.5015,-0.3510,0.2035,0.4998,1.0
70.5,0.4000,0.1500,0.0180,0.2460,1.0128,-0.5015,-0.3510,0.2035,0.4998,1.0
71.0,0.4000,0.1500,0.0180,0.2460,1.0128,-0.5015,-0.3510,0.2035,0.4998,1.0
71.5,0.4000,0.1500,0.0180,0.2460,1.0128,-0.5015,-0.3510,0.2035,0.4998,1.0
72.0,0.4000,0.1500,0.0180,0.3439,0.9023,-0.3968,-0.3576,0.2093,0.6037,0.0
72.5,0.4000,0.1500,0.0180,0.4381,0.7414,-0.2886,-0.3637,0.2110,0.7063,0.0
73.0,0.4000,0.1500,0.0180,0.4202,0.6552,-0.2268,-0.3781,0.2053,0.7116,0.0
73.5,0.4000,0.1500,0.0180,0.3684,0.5970,-0.2280,-0.3909,0.1598,0.6810,0.0
74.0,0.4000,0.1500,0.0180,0.3067,0.5548,-0.2973,-0.3811,0.1107,0.6183,0.0
74.5,0.4000,0.1500,0.0180,0.2534,0.5210,-0.3926,-0.3434,0.0795,0.5334,0.0
75.0,0.4000,0.1500,0.0180,0.1930,0.5052,-0.4779,-0.2983,0.0636,0.4368,0.0
75.5,0.4000,0.1500,0.0180,0.1188,0.4935,-0.5681,-0.2410,0.0531,0.3349,0.0
76.0,0.4000,0.1500,0.0180,0.0802,0.4874,-0.6150,-0.2113,0.0476,0.2819,0.0
76.5,0.4000,0.1500,0.0180,0.0802,0.4874,-0.6150,-0.2113,0.0476,0.2819,0.0
77.0,0.4000,0.1500,0.0180,0.0802,0.4874,-0.6150,-0.2113,0.0476,0.2819,0.0
77.5,0.4000,0.1500,0.0180,0.0802,0.4874,-0.6150,-0.2113,0.0476,0.2819,0.0
